topology,run,algo,phase,controller,lambda,mu_init,mu_final,scale_factor,rho_init,rho_final,W_init,W_final,stable,alpha,beta,link_sens,k_paths,load_sens,controller_sens
AttMpls,0,B1,SM,1,792.0,1349.6,1349.6,1.0,0.5868,0.5868,0.2091,1.7934,1,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,B1,SM,2,1131.0,1326.4,1326.4,1.0,0.8527,0.8527,0.853,5.1177,1,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,B1,SM,3,1186.0,1287.2,1287.2,1.0,0.9214,0.9214,inf,9.8814,1,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,B1,SM,4,1340.0,1349.6,1349.6,1.0,0.9929,0.9929,inf,104.1667,1,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,B3,SM,1,1297.0,1349.6,1349.6,1.0,0.961,0.961,0.1195,19.0114,1,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,B3,SM,2,945.0,1326.4,1326.4,1.0,0.7125,0.7125,1.0235,2.6219,1,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,B3,SM,3,1095.0,1287.2,1287.2,1.0,0.8507,0.8507,inf,5.2029,1,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,B3,SM,4,1112.0,1349.6,1349.6,1.0,0.8239,0.8239,inf,4.2088,1,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,MCF_ARC,SM,1,970.0,1349.6,1349.6,1.0,0.7187,0.7187,0.1673,2.6344,1,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,MCF_ARC,SM,2,1131.0,1326.4,1326.4,1.0,0.8527,0.8527,0.853,5.1177,1,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,MCF_ARC,SM,3,1140.0,1287.2,1287.2,1.0,0.8856,0.8856,inf,6.7935,1,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,MCF_ARC,SM,4,1208.0,1349.6,1349.6,1.0,0.8951,0.8951,inf,7.0621,1,0.5,0.5,0.0,5,0.0,0.0
AttMpls,1,B1,SM,1,888.0,1351.2,1351.2,1.0,0.6572,0.6572,0.1724,2.1589,1,0.5,0.5,0.0,5,0.0,0.0
AttMpls,1,B1,SM,2,1021.0,1325.6,1325.6,1.0,0.7702,0.7702,0.6566,3.283,1,0.5,0.5,0.0,5,0.0,0.0
AttMpls,1,B1,SM,3,1383.0,1392.0,1392.0,1.0,0.9935,0.9935,inf,111.1111,1,0.5,0.5,0.0,5,0.0,0.0
AttMpls,1,B1,SM,4,1288.0,1325.6,1325.6,1.0,0.9716,0.9716,inf,26.5957,1,0.5,0.5,0.0,5,0.0,0.0
AttMpls,1,B3,SM,1,1324.0,1351.2,1351.2,1.0,0.9799,0.9799,0.1231,36.7647,1,0.5,0.5,0.0,5,0.0,0.0
AttMpls,1,B3,SM,2,1021.0,1325.6,1325.6,1.0,0.7702,0.7702,0.6566,3.283,1,0.5,0.5,0.0,5,0.0,0.0
AttMpls,1,B3,SM,3,1177.0,1392.0,1392.0,1.0,0.8455,0.8455,inf,4.6512,1,0.5,0.5,0.0,5,0.0,0.0
AttMpls,1,B3,SM,4,1058.0,1325.6,1325.6,1.0,0.7981,0.7981,inf,3.7369,1,0.5,0.5,0.0,5,0.0,0.0
AttMpls,1,MCF_ARC,SM,1,1042.0,1351.2,1351.2,1.0,0.7712,0.7712,0.1724,3.2342,1,0.5,0.5,0.0,5,0.0,0.0
AttMpls,1,MCF_ARC,SM,2,1021.0,1325.6,1325.6,1.0,0.7702,0.7702,0.6566,3.283,1,0.5,0.5,0.0,5,0.0,0.0
AttMpls,1,MCF_ARC,SM,3,1306.0,1392.0,1392.0,1.0,0.9382,0.9382,inf,11.6279,1,0.5,0.5,0.0,5,0.0,0.0
AttMpls,1,MCF_ARC,SM,4,1211.0,1325.6,1325.6,1.0,0.9135,0.9135,inf,8.726,1,0.5,0.5,0.0,5,0.0,0.0
AttMpls,2,B1,SM,1,774.0,1300.0,1300.0,1.0,0.5954,0.5954,0.2242,1.9011,1,0.5,0.5,0.0,5,0.0,0.0
AttMpls,2,B1,SM,2,1050.0,1349.6,1349.6,1.0,0.778,0.778,0.5563,3.3378,1,0.5,0.5,0.0,5,0.0,0.0
AttMpls,2,B1,SM,3,1294.0,1300.0,1300.0,1.0,0.9954,0.9954,inf,166.6667,1,0.5,0.5,0.0,5,0.0,0.0
AttMpls,2,B1,SM,4,1375.0,1415.2,1415.2,1.0,0.9716,0.9716,inf,24.8756,1,0.5,0.5,0.0,5,0.0,0.0
AttMpls,2,B3,SM,1,1163.0,1300.0,1300.0,1.0,0.8946,0.8946,0.1495,7.2993,1,0.5,0.5,0.0,5,0.0,0.0
AttMpls,2,B3,SM,2,1050.0,1349.6,1349.6,1.0,0.778,0.778,0.5563,3.3378,1,0.5,0.5,0.0,5,0.0,0.0
AttMpls,2,B3,SM,3,1131.0,1300.0,1300.0,1.0,0.87,0.87,inf,5.9172,1,0.5,0.5,0.0,5,0.0,0.0
