topology,run,phase,algo,u,v,cap_uniform,cap_before_stress,cap_after_stress,usage_routed,util_routed,usage_shortest_init,usage_routed_init,util_shortest_init,util_routed_init,violated,num_switches,switches,paths,ebc,is_stressed,stress_threshold,cap_change_pct,alpha,beta,link_sens,k_paths,load_sens,controller_sens
AttMpls,0,INIT,MCF_PATH,1,2,100600.0,78416.701,78416.701,75264.0,0.9598,73344.0,75264.0,0.9353,0.9598,0,3,21|22|23,21:21->3->1->2 || 22:22->3->1->2 || 23:23->14->6->8->1->2,0.06,1,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,1,3,100600.0,86121.463,86121.463,49408.0,0.5737,49408.0,49408.0,0.5737,0.5737,0,2,21|22,21:21->3->1->2 || 22:22->3->1->2,0.053333,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,1,8,100600.0,59317.744,59317.744,25856.0,0.4359,23936.0,25856.0,0.4035,0.4359,0,1,23,23:23->14->6->8->1->2,0.06,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,2,7,100600.0,88735.87,88735.87,47616.0,0.5366,49536.0,47616.0,0.5582,0.5366,0,2,24|25,24:24->23->10->4->7->2 || 25:25->23->10->4->7->2,0.02,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,3,10,100600.0,67722.496,67722.496,64000.0,0.945,64000.0,64000.0,0.945,0.945,0,3,13|14|15,13:13->14->10->3 || 14:14->10->3 || 15:15->6->10->3,0.053333,1,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,3,16,100600.0,41881.704,41881.704,23552.0,0.5623,23552.0,23552.0,0.5623,0.5623,0,1,16,16:16->3,0.02,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,INIT,MCF_PATH,3,17,100600.0,35193.429,35193.429,18432.0,0.5237,18432.0,18432.0,0.5237,0.5237,0,1,17,17:17->3,0.023333,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
