topology,run,phase,algo,u,v,cap_uniform,cap_before_stress,cap_after_stress,usage_routed,util_routed,usage_shortest_init,usage_routed_init,util_shortest_init,util_routed_init,violated,num_switches,switches,paths,ebc,is_stressed,stress_threshold,cap_change_pct,alpha,beta,link_sens,k_paths,load_sens,controller_sens
CrlNetworkServices,0,INIT,MCF_PATH,1,2,100600.0,33854.984,33854.984,17280.0,0.5104,26368.0,17280.0,0.7789,0.5104,0,1,26,26:26->20->14->7->2->1->4,0.267045,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,1,4,100600.0,54464.49,54464.49,17280.0,0.3173,26368.0,17280.0,0.4841,0.3173,0,1,26,26:26->20->14->7->2->1->4,0.255682,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,2,7,100600.0,42065.944,42065.944,17280.0,0.4108,26368.0,17280.0,0.6268,0.4108,0,1,26,26:26->20->14->7->2->1->4,0.278409,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,3,25,100600.0,255538.5,255538.5,181632.0,0.7108,225280.0,181632.0,0.8816,0.7108,0,8,32|33|25|27|28|29|30|31,25:25->3->4 || 27:27->28->32->33->24->25->3->4 || 28:28->32->33->24->25->3->4 || 29:29->28->32->33->24->25->3->4 || 30:30->29->28->32->33->24->25->3 || 31:31->33->24->25->3 || 32:32->33->24->25->3 || 33:33->24->25->3,0.229167,1,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,3,4,100600.0,256314.312,256314.312,93568.0,0.3651,137216.0,93568.0,0.5353,0.3651,0,4,25|27|28|29,25:25->3->4 || 27:27->28->32->33->24->25->3->4 || 28:28->32->33->24->25->3->4 || 29:29->28->32->33->24->25->3->4,0.244318,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,5,8,100600.0,286264.688,286264.688,133376.0,0.4659,133376.0,133376.0,0.4659,0.4659,0,6,19|20|21|22|23|24,19:19->10->9->7->8->5 || 20:20->14->7->8->5 || 21:21->20->14->7->8->5 || 22:22->21->20->14->7->8->5 || 23:23->22->21->20->14->7->8->5 || 24:24->33->32->28->27->26->20->14->7->8->5,0.060606,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,6,7,100600.0,303737.213,303737.213,125696.0,0.4138,125696.0,125696.0,0.4138,0.4138,0,5,13|15|16|17|18,13:13->9->7->6 || 15:15->19->10->9->7->6 || 16:16->17->18->19->10->9->7->6 || 17:17->18->19->10->9->7->6 || 18:18->19->10->9->7->6,0.056818,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,7,9,100600.0,382351.226,382351.226,188800.0,0.4938,166400.0,188800.0,0.4352,0.4938,0,8,9|10|13|15|16|17|18|19,9:9->7 || 10:10->9->7 || 13:13->9->7->6 || 15:15->19->10->9->7->6 || 16:16->17->18->19->10->9->7->6 || 17:17->18->19->10->9->7->6 || 18:18->19->10->9->7->6 || 19:19->10->9->7->8->5,0.174242,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,7,8,100600.0,198010.74,198010.74,154880.0,0.7822,154880.0,154880.0,0.7822,0.7822,0,7,8|19|20|21|22|23|24,8:8->7 || 19:19->10->9->7->8->5 || 20:20->14->7->8->5 || 21:21->20->14->7->8->5 || 22:22->21->20->14->7->8->5 || 23:23->22->21->20->14->7->8->5 || 24:24->33->32->28->27->26->20->14->7->8->5,0.113636,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,7,14,100600.0,246322.062,246322.062,189568.0,0.7696,168320.0,189568.0,0.6833,0.7696,0,9,11|12|14|20|21|22|23|24|26,11:11->14->7 || 12:12->11->14->7 || 14:14->7 || 20:20->14->7->8->5 || 21:21->20->14->7->8->5 || 22:22->21->20->14->7->8->5 || 23:23->22->21->20->14->7->8->5 || 24:24->33->32->28->27->26->20->14->7->8->5 || 26:26->20->14->7->2->1->4,0.13447,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,9,10,100600.0,196888.542,196888.542,141568.0,0.719,119168.0,141568.0,0.6053,0.719,0,6,10|15|16|17|18|19,10:10->9->7 || 15:15->19->10->9->7->6 || 16:16->17->18->19->10->9->7->6 || 17:17->18->19->10->9->7->6 || 18:18->19->10->9->7->6 || 19:19->10->9->7->8->5,0.140152,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,9,13,100600.0,39175.132,39175.132,27776.0,0.709,27776.0,27776.0,0.709,0.709,0,1,13,13:13->9->7->6,0.060606,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,10,19,100600.0,144338.728,144338.728,120448.0,0.8345,98048.0,120448.0,0.6793,0.8345,0,5,15|16|17|18|19,15:15->19->10->9->7->6 || 16:16->17->18->19->10->9->7->6 || 17:17->18->19->10->9->7->6 || 18:18->19->10->9->7->6 || 19:19->10->9->7->8->5,0.132576,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,11,12,100600.0,31084.326,31084.326,19840.0,0.6383,19840.0,19840.0,0.6383,0.6383,0,1,12,12:12->11->14->7,0.191288,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,11,14,100600.0,94130.533,94130.533,40576.0,0.4311,40576.0,40576.0,0.4311,0.4311,0,2,11|12,11:11->14->7 || 12:12->11->14->7,0.202652,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,12,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,14,20,100600.0,209082.881,209082.881,128128.0,0.6128,106880.0,128128.0,0.5112,0.6128,0,6,20|21|22|23|24|26,20:20->14->7->8->5 || 21:21->20->14->7->8->5 || 22:22->21->20->14->7->8->5 || 23:23->22->21->20->14->7->8->5 || 24:24->33->32->28->27->26->20->14->7->8->5 || 26:26->20->14->7->2->1->4,0.265152,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,15,19,100600.0,46610.922,46610.922,22400.0,0.4806,0.0,22400.0,0.0,0.4806,0,1,15,15:15->19->10->9->7->6,0.159091,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,15,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,16,17,100600.0,56142.795,56142.795,25216.0,0.4491,25216.0,25216.0,0.4491,0.4491,0,1,16,16:16->17->18->19->10->9->7->6,0.07197,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,16,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,17,18,100600.0,115013.683,115013.683,51200.0,0.4452,51200.0,51200.0,0.4452,0.4452,0,2,16|17,16:16->17->18->19->10->9->7->6 || 17:17->18->19->10->9->7->6,0.125,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,18,19,100600.0,110603.763,110603.763,75520.0,0.6828,75520.0,75520.0,0.6828,0.6828,0,3,16|17|18,16:16->17->18->19->10->9->7->6 || 17:17->18->19->10->9->7->6 || 18:18->19->10->9->7->6,0.174242,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,20,26,100600.0,55809.693,55809.693,43648.0,0.7821,0.0,43648.0,0.0,0.7821,0,2,24|26,24:24->33->32->28->27->26->20->14->7->8->5 || 26:26->20->14->7->2->1->4,0.045455,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,20,21,100600.0,124397.485,124397.485,65664.0,0.5279,88064.0,65664.0,0.7079,0.5279,0,3,21|22|23,21:21->20->14->7->8->5 || 22:22->21->20->14->7->8->5 || 23:23->22->21->20->14->7->8->5,0.284091,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,21,22,100600.0,110482.83,110482.83,43904.0,0.3974,66304.0,43904.0,0.6001,0.3974,0,2,22|23,22:22->21->20->14->7->8->5 || 23:23->22->21->20->14->7->8->5,0.261364,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,22,23,100600.0,46822.043,46822.043,24448.0,0.5221,24448.0,24448.0,0.5221,0.5221,0,1,23,23:23->22->21->20->14->7->8->5,0.045455,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,24,25,100600.0,219586.596,219586.596,160896.0,0.7327,204544.0,160896.0,0.9315,0.7327,0,7,32|33|27|28|29|30|31,27:27->28->32->33->24->25->3->4 || 28:28->32->33->24->25->3->4 || 29:29->28->32->33->24->25->3->4 || 30:30->29->28->32->33->24->25->3 || 31:31->33->24->25->3 || 32:32->33->24->25->3 || 33:33->24->25->3,0.210227,1,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,24,33,100600.0,199826.964,199826.964,187264.0,0.9371,178176.0,187264.0,0.8917,0.9371,0,8,32|33|24|27|28|29|30|31,24:24->33->32->28->27->26->20->14->7->8->5 || 27:27->28->32->33->24->25->3->4 || 28:28->32->33->24->25->3->4 || 29:29->28->32->33->24->25->3->4 || 30:30->29->28->32->33->24->25->3 || 31:31->33->24->25->3 || 32:32->33->24->25->3 || 33:33->24->25->3,0.225379,1,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,26,27,100600.0,40963.241,40963.241,26368.0,0.6437,17280.0,26368.0,0.4218,0.6437,0,1,24,24:24->33->32->28->27->26->20->14->7->8->5,0.056818,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,27,28,100600.0,71749.687,71749.687,43392.0,0.6048,34304.0,43392.0,0.4781,0.6048,0,2,24|27,24:24->33->32->28->27->26->20->14->7->8->5 || 27:27->28->32->33->24->25->3->4,0.07197,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,28,29,100600.0,67016.069,67016.069,51328.0,0.7659,51328.0,51328.0,0.7659,0.7659,0,2,29|30,29:29->28->32->33->24->25->3->4 || 30:30->29->28->32->33->24->25->3,0.113636,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,28,32,100600.0,147953.766,147953.766,121344.0,0.8201,112256.0,121344.0,0.7587,0.8201,0,5,24|27|28|29|30,24:24->33->32->28->27->26->20->14->7->8->5 || 27:27->28->32->33->24->25->3->4 || 28:28->32->33->24->25->3->4 || 29:29->28->32->33->24->25->3->4 || 30:30->29->28->32->33->24->25->3,0.215909,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,29,30,100600.0,47222.2,47222.2,22144.0,0.4689,22144.0,22144.0,0.4689,0.4689,0,1,30,30:30->29->28->32->33->24->25->3,0.060606,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,30,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,31,33,100600.0,29915.68,29915.68,20352.0,0.6803,20352.0,20352.0,0.6803,0.6803,0,1,31,31:31->33->24->25->3,0.056818,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,INIT,MCF_PATH,32,33,100600.0,276980.231,276980.231,143360.0,0.5176,134272.0,143360.0,0.4848,0.5176,0,6,32|24|27|28|29|30,24:24->33->32->28->27->26->20->14->7->8->5 || 27:27->28->32->33->24->25->3->4 || 28:28->32->33->24->25->3->4 || 29:29->28->32->33->24->25->3->4 || 30:30->29->28->32->33->24->25->3 || 32:32->33->24->25->3,0.257576,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,SM,B1,1,2,100600.0,33854.984,33854.984,26368.0,0.7789,26368.0,17280.0,0.7789,0.5104,0,1,"(24, 2)","(24, 2):24->25->3->4->1->2",0.267045,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,SM,B1,1,4,100600.0,54464.49,54464.49,26368.0,0.4841,26368.0,17280.0,0.4841,0.3173,0,1,"(24, 2)","(24, 2):24->25->3->4->1->2",0.255682,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,SM,B1,2,7,100600.0,42065.944,42065.944,67968.0,1.6157,26368.0,17280.0,0.6268,0.4108,1,3,"(14, 2)|(12, 2)|(7, 2)","(7, 2):7->2 || (12, 2):12->11->14->7->2 || (14, 2):14->7->2",0.278409,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,SM,B1,3,25,100600.0,255538.5,255538.5,225280.0,0.8816,225280.0,181632.0,0.8816,0.7108,0,10,"(29, 4)|(32, 3)|(27, 4)|(33, 3)|(30, 3)|(31, 3)|(26, 3)|(24, 2)|(25, 4)|(28, 4)","(24, 2):24->25->3->4->1->2 || (25, 4):25->3->4 || (26, 3):26->27->28->32->33->24->25->3 || (27, 4):27->28->32->33->24->25->3->4 || (28, 4):28->32->33->24->25->3->4 || (29, 4):29->28->32->33->24->25->3->4 || (30, 3):30->29->28->32->33->24->25->3 || (31, 3):31->33->24->25->3 || (32, 3):32->33->24->25->3 || (33, 3):33->24->25->3",0.229167,1,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,SM,B1,3,4,100600.0,256314.312,256314.312,119936.0,0.4679,137216.0,93568.0,0.5353,0.3651,0,5,"(29, 4)|(27, 4)|(24, 2)|(25, 4)|(28, 4)","(24, 2):24->25->3->4->1->2 || (25, 4):25->3->4 || (27, 4):27->28->32->33->24->25->3->4 || (28, 4):28->32->33->24->25->3->4 || (29, 4):29->28->32->33->24->25->3->4",0.244318,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,SM,B1,5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,SM,B1,5,8,100600.0,286264.688,286264.688,88192.0,0.3081,133376.0,133376.0,0.4659,0.4659,0,4,"(23, 5)|(21, 5)|(19, 5)|(22, 5)","(19, 5):19->10->9->7->8->5 || (21, 5):21->20->14->7->8->5 || (22, 5):22->21->20->14->7->8->5 || (23, 5):23->22->21->20->14->7->8->5",0.060606,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,SM,B1,6,7,100600.0,303737.213,303737.213,101376.0,0.3338,125696.0,125696.0,0.4138,0.4138,0,4,"(17, 6)|(15, 6)|(13, 6)|(16, 6)","(13, 6):13->9->7->6 || (15, 6):15->22->21->20->14->7->6 || (16, 6):16->17->18->19->10->9->7->6 || (17, 6):17->18->19->10->9->7->6",0.056818,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,SM,B1,7,9,100600.0,382351.226,382351.226,166400.0,0.4352,166400.0,188800.0,0.4352,0.4938,0,7,"(18, 7)|(10, 7)|(16, 6)|(17, 6)|(13, 6)|(9, 7)|(19, 5)","(9, 7):9->7 || (10, 7):10->9->7 || (13, 6):13->9->7->6 || (16, 6):16->17->18->19->10->9->7->6 || (17, 6):17->18->19->10->9->7->6 || (18, 7):18->19->10->9->7 || (19, 5):19->10->9->7->8->5",0.174242,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,SM,B1,7,8,100600.0,198010.74,198010.74,109696.0,0.554,154880.0,154880.0,0.7822,0.7822,0,5,"(22, 5)|(8, 7)|(21, 5)|(23, 5)|(19, 5)","(8, 7):8->7 || (19, 5):19->10->9->7->8->5 || (21, 5):21->20->14->7->8->5 || (22, 5):22->21->20->14->7->8->5 || (23, 5):23->22->21->20->14->7->8->5",0.113636,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,SM,B1,7,14,100600.0,246322.062,246322.062,168320.0,0.6833,168320.0,189568.0,0.6833,0.7696,0,8,"(11, 7)|(22, 5)|(20, 7)|(15, 6)|(21, 5)|(12, 2)|(23, 5)|(14, 2)","(11, 7):11->14->7 || (12, 2):12->11->14->7->2 || (14, 2):14->7->2 || (15, 6):15->22->21->20->14->7->6 || (20, 7):20->14->7 || (21, 5):21->20->14->7->8->5 || (22, 5):22->21->20->14->7->8->5 || (23, 5):23->22->21->20->14->7->8->5",0.13447,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,SM,B1,9,10,100600.0,196888.542,196888.542,119168.0,0.6053,119168.0,141568.0,0.6053,0.719,0,5,"(18, 7)|(10, 7)|(16, 6)|(17, 6)|(19, 5)","(10, 7):10->9->7 || (16, 6):16->17->18->19->10->9->7->6 || (17, 6):17->18->19->10->9->7->6 || (18, 7):18->19->10->9->7 || (19, 5):19->10->9->7->8->5",0.140152,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,SM,B1,9,13,100600.0,39175.132,39175.132,27776.0,0.709,27776.0,27776.0,0.709,0.709,0,1,"(13, 6)","(13, 6):13->9->7->6",0.060606,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,SM,B1,10,19,100600.0,144338.728,144338.728,98048.0,0.6793,98048.0,120448.0,0.6793,0.8345,0,4,"(17, 6)|(18, 7)|(16, 6)|(19, 5)","(16, 6):16->17->18->19->10->9->7->6 || (17, 6):17->18->19->10->9->7->6 || (18, 7):18->19->10->9->7 || (19, 5):19->10->9->7->8->5",0.132576,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,SM,B1,11,12,100600.0,31084.326,31084.326,19840.0,0.6383,19840.0,19840.0,0.6383,0.6383,0,1,"(12, 2)","(12, 2):12->11->14->7->2",0.191288,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,SM,B1,11,14,100600.0,94130.533,94130.533,40576.0,0.4311,40576.0,40576.0,0.4311,0.4311,0,2,"(11, 7)|(12, 2)","(11, 7):11->14->7 || (12, 2):12->11->14->7->2",0.202652,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,SM,B1,12,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,SM,B1,14,20,100600.0,209082.881,209082.881,106880.0,0.5112,106880.0,128128.0,0.5112,0.6128,0,5,"(22, 5)|(20, 7)|(15, 6)|(21, 5)|(23, 5)","(15, 6):15->22->21->20->14->7->6 || (20, 7):20->14->7 || (21, 5):21->20->14->7->8->5 || (22, 5):22->21->20->14->7->8->5 || (23, 5):23->22->21->20->14->7->8->5",0.265152,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,SM,B1,15,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,SM,B1,15,22,100600.0,37224.104,37224.104,22400.0,0.6018,22400.0,0.0,0.6018,0.0,0,1,"(15, 6)","(15, 6):15->22->21->20->14->7->6",0.189394,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,SM,B1,16,17,100600.0,56142.795,56142.795,25216.0,0.4491,25216.0,25216.0,0.4491,0.4491,0,1,"(16, 6)","(16, 6):16->17->18->19->10->9->7->6",0.07197,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,SM,B1,16,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,SM,B1,17,18,100600.0,115013.683,115013.683,51200.0,0.4452,51200.0,51200.0,0.4452,0.4452,0,2,"(17, 6)|(16, 6)","(16, 6):16->17->18->19->10->9->7->6 || (17, 6):17->18->19->10->9->7->6",0.125,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,SM,B1,18,19,100600.0,110603.763,110603.763,75520.0,0.6828,75520.0,75520.0,0.6828,0.6828,0,3,"(17, 6)|(18, 7)|(16, 6)","(16, 6):16->17->18->19->10->9->7->6 || (17, 6):17->18->19->10->9->7->6 || (18, 7):18->19->10->9->7",0.174242,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,SM,B1,20,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,0,SM,B1,20,21,100600.0,124397.485,124397.485,88064.0,0.7079,88064.0,65664.0,0.7079,0.5279,0,4,"(23, 5)|(15, 6)|(21, 5)|(22, 5)","(15, 6):15->22->21->20->14->7->6 || (21, 5):21->20->14->7->8->5 || (22, 5):22->21->20->14->7->8->5 || (23, 5):23->22->21->20->14->7->8->5",0.284091,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
