batch_ts,run_index,topology,algo,nodes,num_switches,num_controllers,objective,alpha,beta,k_paths,link_sens,obj_value,solve_time_sec,mip_gap,status,ctrl_load_mean_init,ctrl_load_mean_final,ctrl_load_max_init,ctrl_load_max_final,ctrl_capacity_mean,ctrl_usable_capacity_mean,mig_total,mig_count,mig_cc,mig_rt_penalty,load_dev_init,load_dev_final,ctrl_util_mean_init,ctrl_util_mean_final,ctrl_util_max_init,ctrl_util_max_final,delta_ctrl_util_max,ctrl_util_p95_init,ctrl_util_p95_final,ctrl_util_std_final,ctrl_util_cov_final,jain_load_init,jain_load_final,ctrl_headroom_mean_final,ctrl_headroom_p50_final,ctrl_headroom_p95_final,rt_mean_init_ms,rt_mean_final_ms,delta_rt_mean_ms,rt_max_init_ms,rt_max_final_ms,rt_p95_init_ms,rt_p95_final_ms,delta_rt_p95_ms,prop_delay_mean_ms,prop_delay_max_ms,queue_delay_mean_ms,queue_delay_max_ms,sync_delay_ms,ctrl_rt_mean_ms,ctrl_rt_p95_ms,ctrl_rt_max_ms,unstable_controllers,link_util_mean,link_util_max,link_util_p95,violated_links_count,excess_util_total,rebalanced_load_total
20260521_205055,0,CrlNetworkServices,,33,33,7,maxmin,0.5,0.5,5,0.0,5152010.462180121,0.08256759899995814,0.0,SUCCESS,nan,850.8571428571429,nan,1044.0,1246.2857142857142,997.0285714285716,5106261.350830043,7,5106254.350830043,0.0,1039.0,840.0,0.6826987834767425,0.6814929053477033,1.0,0.7993501218521527,-0.2006498781478473,0.9870836718115353,0.7976441917140537,0.21226265993058152,0.31146716020804843,0.8011776705142416,0.9095173467787147,0.3185070946522966,0.23763179237631793,0.6700243704305439,42.457529477359245,nan,nan,inf,1299.3306805214525,nan,nan,nan,14.456019610999588,48.86614896665297,261.46735446843365,1249.9999999998934,27.679171515830486,0.0,0.0,0.0,0,0.62523421838488,1.6157488449234145,0.9095814179679087,4,1.1204853916253978,872.0
20260521_205057,0,CrlNetworkServices,,33,33,7,maxmin,0.5,0.5,5,0.0,1621265393.4197323,0.0008597819996793987,,SUCCESS,850.8571428571429,850.8571428571429,1231.0,1142.0,1246.2857142857142,997.0285714285716,10977191.327386448,8,10977183.327386448,0.0,1039.0,392.0,0.6826987834767425,0.6841918886373236,1.0,0.9277010560519903,-0.07229894394800973,0.9870836718115353,0.8577579203899268,0.10874542248864391,0.1589399469573187,0.8011776705142416,0.9786449001788126,0.31580811136267634,0.32250203086921203,0.4235265861453372,42.457529477359245,nan,nan,inf,inf,nan,nan,nan,15.780327180670758,60.422108913999494,5.793125533747674,7.704160246533124,27.679171515830486,0.0,0.0,0.0,1,0.7516500932875729,2.760007243931147,2.007069572486724,6,4.81520017940393,1499.0
20260521_205058,0,CrlNetworkServices,,33,0,0,maxmin,0.5,0.5,5,0.0,,0.0,,INF_OR_UNBOUNDED_MCF_ARC,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
20260521_205100,1,CrlNetworkServices,,33,33,7,maxmin,0.5,0.5,5,0.0,4576446.369746282,0.04591224700016028,3.4581983623379504e-05,SUCCESS,nan,825.2857142857143,nan,957.0,1217.7142857142858,974.1714285714286,4231811.081980425,6,4231805.081980425,0.0,1088.0,641.0,0.6799657635075353,0.6812154994596437,0.987460815047022,0.7998324958123953,-0.18762831923462664,0.9829311132464833,0.7989295698111516,0.18676887357262215,0.2741700294851947,0.7921749409157407,0.9332819624192541,0.31878450054035623,0.2303182579564489,0.6422236574723144,42.124313693323195,nan,nan,inf,5048.758642472109,nan,nan,nan,15.056087841840137,48.86614896665297,976.551386484698,4999.999999998863,27.679171515830486,0.0,0.0,0.0,0,0.6693420897581924,2.1059454347306312,0.9056279518743897,5,1.626197321019775,816.0
20260521_205102,1,CrlNetworkServices,,33,33,7,maxmin,0.5,0.5,5,0.0,1132261800.8786821,0.0009615109993319493,,SUCCESS,825.2857142857143,825.2857142857143,1260.0,966.0,1217.7142857142858,974.1714285714286,10303059.410837147,8,10303051.410837147,0.0,1088.0,206.0,0.6799657635075353,0.677132381830912,0.987460815047022,0.7570532915360502,-0.23040752351097182,0.9829311132464833,0.7357161985475968,0.03610258465138076,0.05331687808780058,0.7921749409157407,0.9942834345713792,0.32286761816908804,0.33026755852842804,0.3589614740368509,42.124313693323195,nan,nan,inf,82.33999433064001,nan,nan,nan,16.24450617214735,48.86614896665297,8.052953271412218,18.24817518248173,27.679171515830486,0.0,0.0,0.0,0,0.7666754128043338,2.9681513402480224,1.9851020146875702,6,5.034051529741983,1384.0
20260521_205103,1,CrlNetworkServices,,33,0,0,maxmin,0.5,0.5,5,0.0,,0.0,,INF_OR_UNBOUNDED_MCF_ARC,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
20260521_205105,2,CrlNetworkServices,,33,33,7,maxmin,0.5,0.5,5,0.0,5049930.638802529,0.038021521000700886,0.0,SUCCESS,nan,865.1428571428571,nan,1028.0,1278.7142857142858,1022.9714285714288,4631069.6283473335,9,4631060.6283473335,0.0,1126.0,698.0,0.6813464175393021,0.6812283347921103,0.9937839937839937,0.799203187250996,-0.1945808065329977,0.9898212898212897,0.7990692707027369,0.18792575396700564,0.275863090786373,0.7852080077345966,0.9331546703919098,0.31877166520788974,0.2324281150159745,0.6420752272206341,43.036110585947604,nan,nan,inf,1052.0728392604024,nan,nan,nan,14.555479653494869,48.86614896665297,299.006223060834,1000.0,27.679171515830486,0.0,0.0,0.0,0,0.6177927226461741,1.7363772861839655,0.9021258234488106,4,1.224362587578232,822.0
20260521_205107,2,CrlNetworkServices,,33,33,7,maxmin,0.5,0.5,5,0.0,1239951953.7656257,0.0009292690010624938,,SUCCESS,865.1428571428571,865.1428571428571,1279.0,964.0,1278.7142857142858,1022.9714285714288,10303059.410837147,8,10303051.410837147,0.0,1126.0,227.0,0.6813464175393021,0.6762144061153265,0.9937839937839937,0.7539936102236422,-0.23979038356035154,0.9898212898212897,0.7395085579032552,0.0471677923420256,0.06975271735630735,0.7852080077345966,0.993310407606495,0.32378559388467354,0.32400932400932403,0.39383571146723007,43.036110585947604,nan,nan,inf,83.65769601591163,nan,nan,nan,15.593115630665176,48.86614896665297,7.860809550549668,17.361111111111104,27.679171515830486,0.0,0.0,0.0,0,0.6943613565419149,2.8889982291568552,1.2050969607202995,5,3.326111440963287,1550.0
20260521_205108,2,CrlNetworkServices,,33,0,0,maxmin,0.5,0.5,5,0.0,,0.0,,INF_OR_UNBOUNDED_MCF_ARC,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
20260521_205110,3,CrlNetworkServices,,33,33,7,maxmin,0.5,0.5,5,0.0,5388562.215342212,0.025919858999259304,0.0,SUCCESS,nan,828.2857142857143,nan,1023.0,1229.5714285714287,983.657142857143,5249110.087383526,8,5249102.087383526,0.0,1054.0,861.0,0.6784725726148767,0.6771771974155474,0.9991783073130649,0.7986852917009039,-0.20049301561216104,0.9972007624008588,0.7971712480230609,0.2258149234983584,0.3334650433596746,0.7769934272402905,0.9004300725737424,0.3228228025844526,0.25125208681135225,0.687834553163907,40.514024534194355,nan,nan,inf,677.0728392603936,nan,nan,nan,14.45601961099959,48.86614896665297,149.54119138755252,624.9999999999911,27.679171515830486,0.0,0.0,0.0,0,0.6403717389012805,1.900548011184176,0.904962052828612,4,1.3508119476016,1004.0
