topology,algo,run,phase,switch,init_assigned_controller,assigned_controller,is_migrated,init_path,final_path,init_solver_prop_ms,init_solver_total_rt_ms,init_real_queue_ms,init_switch_load,init_scaled_switch_load,solver_prop_ms,solver_queue_ms,solver_total_rt_ms,real_queue_ms,delta_rt_if_migrated,cc_transfer_ms,steiner_ms,load_scale_alpha,scaled_switch_load,alpha,beta,link_sens,k_paths,load_sens,controller_sens
CrlNetworkServices,SM,0,B1,1,1,1,0,1,,0.0,28.959909,0.0,204,204,0.0,1.280738,28.959909,1.280738,0.0,0.0,0.0,0,204.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,SM,0,B1,2,2,2,0,2,,0.0,28.940524,0.0,192,192,0.0,17.921147,45.600318,17.921147,0.0,0.0,0.0,0,192.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,SM,0,B1,3,3,3,0,3,,0.0,33.936994,0.0,221,221,0.0,40.322581,68.001752,40.322581,0.0,0.0,0.0,0,221,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,SM,0,B1,4,4,4,0,4,,0.0,inf,0.0,209,209,0.0,21.551724,49.230896,21.551724,0.0,0.0,0.0,0,209,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,SM,0,B1,5,5,5,0,5,,0.0,inf,0.0,189,189,0.0,9.363296,37.042467,9.363296,0.0,0.0,0.0,0,189,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,SM,0,B1,6,6,6,0,6,,0.0,inf,0.0,185,185,0.0,128.205128,155.8843,128.205128,0.0,0.0,0.0,0,185,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,SM,0,B1,7,7,2,1,7,,0.0,inf,0.0,213,213,9.448297,17.921147,55.048615,17.921147,0.0,0.0,0.0,0,213.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,SM,0,B1,8,7,7,0,8->7,,2.927897,inf,0.0,168,168,2.927897,1250.0,1280.607068,1250.0,0.0,0.0,0.0,0,168,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,SM,0,B1,9,7,7,0,9->7,,11.613081,inf,0.0,152,152,11.613081,1250.0,1289.292252,1250.0,0.0,0.0,0.0,0,152,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,SM,0,B1,10,7,7,0,10->9->7,,17.334046,inf,0.0,165,165,17.334046,1250.0,1295.013218,1250.0,0.0,0.0,0.0,0,165,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,SM,0,B1,11,7,7,0,11->14->7,,12.697715,inf,0.0,162,162,12.697715,1250.0,1290.376887,1250.0,0.0,0.0,0.0,0,162,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,SM,0,B1,12,7,2,1,12->11->14->7,,21.637615,inf,0.0,155,155,31.085912,17.921147,76.68623,17.921147,0.0,0.0,0.0,0,155,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,SM,0,B1,13,6,6,0,13->9->7->6,,21.92336,inf,0.0,217,217,21.92336,128.205128,177.80766,128.205128,0.0,0.0,0.0,0,217,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,SM,0,B1,14,7,2,1,14->7,,8.816157,inf,0.0,163,163,18.264454,17.921147,63.864773,17.921147,0.0,0.0,0.0,0,163,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,SM,0,B1,15,6,6,0,15->19->10->9->7->6,,27.763235,inf,0.0,175,175,23.768954,128.205128,179.653254,128.205128,0.0,0.0,0.0,0,175,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,SM,0,B1,16,6,6,0,16->17->18->19->10->9->7->6,,28.012873,inf,0.0,197,197,28.012873,128.205128,183.897173,128.205128,0.0,0.0,0.0,0,197,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,SM,0,B1,17,6,6,0,17->18->19->10->9->7->6,,26.715269,inf,0.0,203,203,26.715269,128.205128,182.599569,128.205128,0.0,0.0,0.0,0,203,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,SM,0,B1,18,6,7,1,18->19->10->9->7->6,,25.270715,inf,0.0,190,190,21.651509,1250.0,1299.330681,1250.0,0.0,0.0,0.0,0,190,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,SM,0,B1,19,5,5,0,19->10->9->7->8->5,,25.190308,inf,0.0,176,176,25.190308,9.363296,62.232775,9.363296,0.0,0.0,0.0,0,176,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,SM,0,B1,20,5,7,1,20->14->7->8->5,,17.110572,inf,0.0,147,147,12.999735,1250.0,1290.678907,1250.0,0.0,0.0,0.0,0,147.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,SM,0,B1,21,5,5,0,21->20->14->7->8->5,,20.956698,inf,0.0,170,170,20.956698,9.363296,57.999165,9.363296,0.0,0.0,0.0,0,170.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,SM,0,B1,22,5,5,0,22->21->20->14->7->8->5,,22.408833,inf,0.0,152,152,22.408833,9.363296,59.451301,9.363296,0.0,0.0,0.0,0,152,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,SM,0,B1,23,5,5,0,23->22->21->20->14->7->8->5,,31.27586,inf,0.0,191,191,31.27586,9.363296,68.318328,9.363296,0.0,0.0,0.0,0,191,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,SM,0,B1,24,5,2,1,24->33->32->28->27->26->20->14->7->8->5,,56.720916,inf,0.0,206,206,16.86474,17.921147,62.465058,17.921147,0.0,0.0,0.0,0,206,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,SM,0,B1,25,4,4,0,25->3->4,,1.816433,inf,0.0,162,162,1.816433,21.551724,51.047329,21.551724,0.0,0.0,0.0,0,162,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,SM,0,B1,26,4,3,1,26->20->14->7->2->1->4,,60.534702,inf,0.0,135,135,16.959936,40.322581,84.961689,40.322581,0.0,0.0,0.0,0,135,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,SM,0,B1,27,4,4,0,27->28->32->33->24->25->3->4,,16.058189,inf,0.0,133,133,16.058189,21.551724,65.289085,21.551724,0.0,0.0,0.0,0,133,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,SM,0,B1,28,4,4,0,28->32->33->24->25->3->4,,8.190841,inf,0.0,208,208,8.190841,21.551724,57.421736,21.551724,0.0,0.0,0.0,0,208,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,SM,0,B1,29,4,4,0,29->28->32->33->24->25->3->4,,9.266402,inf,0.0,228,228,9.266402,21.551724,58.497297,21.551724,0.0,0.0,0.0,0,228,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,SM,0,B1,30,3,3,0,30->29->28->32->33->24->25->3,,8.552987,42.48998,0.0,173,173,8.552987,40.322581,76.554739,40.322581,0.0,0.0,0.0,0,173,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,SM,0,B1,31,3,3,0,31->33->24->25->3,,48.866149,82.803143,0.0,159,159,48.866149,40.322581,116.867901,40.322581,0.0,0.0,0.0,0,159,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,SM,0,B1,32,3,3,0,32->33->24->25->3,,6.219754,40.156747,0.0,172,172,6.219754,40.322581,74.221506,40.322581,0.0,0.0,0.0,0,172,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,SM,0,B1,33,3,3,0,33->24->25->3,,5.978415,39.915409,0.0,184,184,5.978415,40.322581,73.980167,40.322581,0.0,0.0,0.0,0,184,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,SM,0,B3,1,1,1,0,1,1,0.0,28.959909,0.0,204,204,0.0,4.314064,31.993235,4.314064,0.0,0.0,0.0,0,204.0,0.5,0.5,0.0,5,0.0,0.0
CrlNetworkServices,SM,0,B3,2,2,2,0,2,2,0.0,28.940524,0.0,192,192,0.0,inf,inf,inf,0.0,0.0,0.0,0,192.0,0.5,0.5,0.0,5,0.0,0.0
